,path,invoice,costo_prof,costo_total
81,Email_Attachment_2021-05-29_5554.pdf,Q45289,15833.52,18279.67
82,Email_Attachment_2021-05-29_6512.pdf,329065243,1184.58,6227.5
83,Email_Attachment_2021-06-01_5125.pdf,U92159331,3001.3199999999997,-32630.92
84,Email_Attachment_2021-06-01_7231.pdf,695023065,3333.69,8589.89
85,Email_Attachment_2021-06-02_7084.pdf,488866080,8093.200000000002,25870.94
86,Email_Attachment_2021-06-03_2131.pdf,I66020388,70094.59,98357.64
87,Email_Attachment_2021-06-05_2698.pdf,154451441,9834.95,47670.84
88,Email_Attachment_2021-06-05_6946.pdf,741547617,13425.75,39104.37
89,Email_Attachment_2021-06-06_1288.pdf,N94064738,18350.180000000004,21170.23
90,Email_Attachment_2021-06-07_8381.pdf,D15349225,15361.05,22133.59
91,Email_Attachment_2021-06-08_3468.pdf,53613297,16839.17,24654.94
92,Email_Attachment_2021-06-08_3699.pdf,M72182,1340.48,-1.0
93,Email_Attachment_2021-06-09_4529.pdf,L98132203,30247.239999999998,70474.48
94,Email_Attachment_2021-06-11_4350.pdf,373188638,11144.990000000002,33957.38
95,Email_Attachment_2021-06-12_6770.pdf,604733218,1239.84,14098.53
96,Email_Attachment_2021-06-13_2669.pdf,217111906,25162.68,35398.76
97,Email_Attachment_2021-06-13_3692.pdf,957930170,12948.670000000002,25061.17
98,Email_Attachment_2021-06-13_5300.pdf,502323868,2362.9700000000003,9819.82
99,Email_Attachment_2021-06-14_6876.pdf,P23044311,1855.13,9274.44
